Make_x,Model,New Price,Decay Coeff,Fit R2,Half-life,Make_y,Body,Listings
Mercedes-Benz,E 320,13958,0.06,0.305,11.48,Mercedes-BenzMercedes-BenzMercedes-Benz,SedanConvertibleWagon,85
Mercedes-Benz,E 350,60532,0.19,0.952,3.64,Mercedes-BenzMercedes-BenzMercedes-BenzMercedes-BenzMercedes-Benz,SedanCoupeConvertibleWagonSUV,474
Mercedes-Benz,E 450,76705,0.048,0.033,14.58,Mercedes-BenzMercedes-BenzMercedes-BenzMercedes-Benz,CoupeConvertibleSedanWagon,89
Mercedes-Benz,GL 450,68397,0.169,0.841,4.09,Mercedes-Benz,SUV,186
Mercedes-Benz,GLA 250,41885,0.168,0.874,4.12,Mercedes-Benz,SUV,232
Mercedes-Benz,GLC 300,51443,0.206,0.73,3.37,Mercedes-Benz,SUV,287
Mercedes-Benz,GLE 350,62917,0.221,0.924,3.14,Mercedes-Benz,SUV,228
Mercedes-Benz,GLK 350,43184,0.143,0.599,4.86,Mercedes-Benz,SUV,129
Mercedes-Benz,GLS 450,85188,0.22,0.737,3.15,Mercedes-Benz,SUV,186
Mercedes-Benz,ML 350,45631,0.141,0.804,4.92,Mercedes-Benz,SUV,248
Mercedes-Benz,S 450,114017,0.213,0.176,3.25,Mercedes-Benz,Sedan,77
Mercedes-Benz,S 550,102675,0.184,0.873,3.77,Mercedes-BenzMercedes-Benz,SedanCoupe,288
Mercedes-Benz,SL 500,26954,0.039,0.069,17.63,Mercedes-BenzMercedes-Benz,ConvertibleSUV,130
Mercedes-Benz,SL 550,120826,0.179,0.923,3.88,Mercedes-Benz,Convertible,107
Mercury,Grand Marquis,31283,0.12,0.451,5.79,MercuryMercury,SedanWagon,75
Mitsubishi,Outlander,22669,0.12,0.376,5.78,Mitsubishi,SUV,143
Mitsubishi,Outlander Sport,20274,0.116,0.686,5.96,Mitsubishi,SUV,105
Nissan,370Z,37028,0.092,0.722,7.52,NissanNissan,CoupeConvertible,103
Nissan,Altima,22275,0.131,0.771,5.3,NissanNissan,SedanCoupe,790
Nissan,Armada,45396,0.148,0.863,4.69,Nissan,SUV,144
Nissan,Frontier,26188,0.082,0.818,8.48,Nissan,Truck,291
Nissan,Juke,23325,0.12,0.431,5.78,Nissan,SUV,61
Nissan,Kicks,22881,0.095,0.401,7.29,Nissan,SUV,68
Nissan,Leaf,51790,0.326,0.869,2.12,Nissan,Hatchback,104
Nissan,Maxima,33978,0.154,0.853,4.49,Nissan,Sedan,262
Nissan,Murano,34423,0.142,0.831,4.87,NissanNissan,SUVWagon,383
Nissan,Pathfinder,29123,0.12,0.789,5.78,Nissan,SUV,261
Nissan,Quest,27309,0.138,0.764,5.04,Nissan,Van,73
